"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","08-May-2017","        625.95","        625.55","        629.45","        623.20","        629.35","        626.95","        626.68","     456711","           286211318.20","       7590","     235626","         51.59"
"DIVISLAB","EQ","09-May-2017","        626.95","        629.50","        638.90","        629.10","        631.45","        632.05","        633.73","     742101","           470293345.10","      16744","     275606","         37.14"
"DIVISLAB","EQ","10-May-2017","        632.05","        634.00","        642.15","        632.95","        637.30","        637.35","        638.44","     517605","           330460965.95","      18378","     187515","         36.23"
"DIVISLAB","EQ","11-May-2017","        637.35","        638.00","        644.70","        634.35","        635.00","        635.20","        638.46","     748146","           477661800.05","      35292","     365731","         48.88"
"DIVISLAB","EQ","12-May-2017","        635.20","        633.70","        635.05","        624.55","        625.00","        625.85","        627.81","     501407","           314789590.35","      19246","     247135","         49.29"
"DIVISLAB","EQ","15-May-2017","        625.85","        628.50","        630.95","        621.00","        624.10","        624.25","        626.21","     393660","           246515668.20","      11000","     169246","         42.99"
"DIVISLAB","EQ","16-May-2017","        624.25","        625.65","        628.00","        621.00","        621.50","        622.45","        624.76","     895976","           559767324.75","      36489","     560599","         62.57"
"DIVISLAB","EQ","17-May-2017","        622.45","        622.45","        625.70","        618.00","        620.00","        619.85","        620.86","     529890","           328990050.15","      26100","     289656","         54.66"
"DIVISLAB","EQ","18-May-2017","        619.85","        616.00","        625.20","        610.00","        611.00","        612.35","        618.87","     599481","           371001161.15","      16246","     226394","         37.76"
"DIVISLAB","EQ","19-May-2017","        612.35","        616.00","        616.00","        603.20","        612.05","        611.00","        609.89","     792474","           483321222.55","      32633","     397560","         50.17"
"DIVISLAB","EQ","22-May-2017","        611.00","        613.00","        614.00","        590.10","        590.85","        595.25","        602.32","     677559","           408105090.05","      36616","     360867","         53.26"
"DIVISLAB","EQ","23-May-2017","        595.25","        595.30","        596.80","        572.65","        575.20","        576.00","        578.22","    1471397","           850787369.95","      87723","     799217","         54.32"
"DIVISLAB","EQ","24-May-2017","        576.00","        575.20","        576.10","        553.00","        556.00","        557.20","        563.27","    1381402","           778109137.90","      71734","     649224","         47.00"
"DIVISLAB","EQ","25-May-2017","        557.20","        555.00","        559.40","        540.20","        550.00","        549.75","        549.17","    2057066","          1129675927.20","      57310","     921717","         44.81"
"DIVISLAB","EQ","26-May-2017","        549.75","        548.00","        561.00","        542.50","        546.00","        545.30","        549.99","    1229349","           676135594.90","      30851","     464931","         37.82"
"DIVISLAB","EQ","29-May-2017","        545.30","        544.00","        588.00","        532.65","        566.65","        569.50","        564.16","    3661131","          2065473080.65","      77625","     800780","         21.87"
"DIVISLAB","EQ","30-May-2017","        569.50","        567.00","        591.15","        563.00","        589.00","        588.00","        581.97","    2338661","          1361037466.75","      81212","     939106","         40.16"
